sku_num,coef,sku_num_obj,sku_brand,Brand_ID
218,1.9538000663358184,218,U8-B5R1-I8J4_US-6,6
219,0.8220626419435508,219,FBA-JOY-KEH_US-30,30
220,-0.0010008412176937048,220,23-44DY-QPL3_US-2,2
221,-0.0009760472499188111,221,AU-YFSP-02S1_US-2,2
222,-0.000781625337128109,222,IK-5BRF-SM9J_US-2,2
223,-0.0017158549654638536,223,IO-6A5C-R3ZK_US-2,2
224,-0.0005740146593512471,224,Q2-LGJY-TNO9_US-2,2
225,0.0,225,BS-PNETS-BLACK_US-31,31
226,0.0,226,D5-FUFC-321G_US-28,28
227,0.0,227,JM-R51T-XN9I_US-28,28
228,0.0,228,W0-WOKV-YZXL_US-28,28
229,0.0,229,DE-AN3X-L8LA_US-28,28
230,0.0,230,FB-21IM-669Q_US-6,6
231,-0.017736342050970178,231,CT-JVC1-99C6_US-2,2
232,1.6582346516562199,232,OD-ZIZS-74GT_US-6,6
233,0.0,233,3K-PX79-XZ1W_US-32,32
234,0.6515711193271703,234,MOD-WOODCTLRY-V1_US-1,1
235,0.0,235,gel-seat-cover-red_US-18,18
236,0.0,236,WS-J2R5-5WML_US-32,32
238,0.0,238,large-saddle-cover-red_US-18,18
239,0.0,239,26_US-32,32
240,1.3798053164453017,240,SimElepB_US-19,19
242,0.0,242,MOD-POS-LARGE_US-34,34
243,0.0,243,PC-MA82-PPS1_US-16,16
244,0.6261001250408492,244,MOD-POS-MEDIUM_US-34,34
245,0.0,245,MOD-POS-SMALL_US-34,34
246,1.8521802813630392,246,V7-31MU-QAZH_US-6,6
248,0.46601128453331603,248,4Y-RG57-076T_US-18,18
249,0.5505221833192263,249,SP-PINK_US-10,10
250,0.9051883366824726,250,SP-BLUE_US-10,10
251,0.24500399105799361,251,Q3-KJKS-SMALL_US-17,17
252,0.0,252,FBM-TrkOrg-NGR_US-11,11
253,0.0,253,PC-MA82-APS1_US-35,35
254,0.772268158123825,254,XP-XHSA-5V74_US-35,35
256,0.0,256,LL-28XA-EM4U_US-6,6
258,1.36546662930419,258,E8-FB5X-YIU5_US-11,11
264,0.21053144060858398,264,NS-Markers-6_US-27,27
265,0.0,265,extra-large-seat-cover_US-18,18
266,1.2096819296841586,266,LO-QHC6-CQNU_US-20,20
269,0.010647722023353658,269,XT-QKIM-HYW2_US-2,2
276,-0.0275282703540303,276,V6-I89F-76FQ_US-2,2
277,0.0,277,FBM-SW-SOY1-LGP6_US-11,11
278,0.824016844459129,278,X5-5HMO-GCRB_US-8,8
279,0.0,279,MAG85_US-19,19
282,1.6688121994401102,282,DG-VOVD-2P9K_US-8,8
283,0.0,283,E3-MII1-ELXP_US-8,8
284,1.2095645148535825,284,OM-5HW9-OZD2_US-8,8
285,0.0,285,SB-60N0-O81X_US-8,8
289,0.15042598588443637,289,bebe-edging-w6m_US-4,4
294,0.5008892269346026,294,TQ-NZBP-OD7L_US-10,10
295,1.2277557780782502,295,BK-DRVAP-1P1P_US-11,11
297,0.0,297,BS-PNETS17-BLACK_US-31,31
298,0.0,298,BS-PNETS17-BLUE-RED_US-31,31
299,0.0,299,BS-PNETS14-BLUE-RED_US-31,31
301,0.0,301,pillow_prot_plush_body_US-5,5
302,0.30797734783141756,302,D7-71XU-20MV_US-2,2
307,0.0,307,FBM-CAM-XL1_US-11,11
308,1.0756860328950426,308,MS-BLK-2PAK_US-11,11
310,0.8091850130637158,310,1R-ASLL-ESC4_US-2,2
314,-0.06925055737173774,314,KM-G3OL-GFWG_US-40,40
317,0.05388699736087122,317,bebe-edging-w5m_US-4,4
318,0.7647112711207633,318,Senior-Saddle-Elastomer_US-18,18
319,0.438857823658408,319,Oversize-Saddle_US-18,18
333,0.0,333,BS-PNETS14-BLACK_US-31,31
336,0.15700200115271118,336,QF-LAB2-495H_US-7,7
344,0.8382743796318676,344,YD-BJVV-AJAU_US-2,2
345,0.0,345,TB-TREK-BP_US-28,28
346,0.0,346,TB-TREK-PP_US-28,28
347,0.0,347,TB-TREK-AS_US-28,28
349,0.4248178540206343,349,9I-TKQM-5THX_US-8,8
350,1.1377581766460074,350,DM-XAPJ-TLEV_US-8,8
351,1.1963968440046016,351,K7-VX5M-ZPKU_US-8,8
352,1.024257162272961,352,DC-KTHE-O4CO_US-8,8
353,1.566549700029364,353,EY-72K0-3JJ0_US-8,8
354,1.4719801521816167,354,IQ-ITCJ-WKSE_US-8,8
355,1.325287196042324,355,EB-9WLS-HPPS_US-8,8
356,0.7658527814090895,356,3L-PUQG-2Z1G_US-8,8
357,0.9159438841243415,357,cruiser-brown-saddle_US-18,18
359,0.7482470369422545,359,cruiser-brown-elastomer_US-18,18
